g,t,var,multiplier
101_CT_1,48,DT_Obl,30.7464982336559
101_CT_1,48,PowerGenerated,35.0
101_CT_1,48,UT_Obl,40.0
101_CT_1,48,UnitOn,30.0
101_CT_1,96,DT_Obl,30.7464982336559
101_CT_1,96,PowerGenerated,35.0
101_CT_1,96,UT_Obl,40.0
101_CT_1,96,UnitOn,30.0
101_CT_1,144,DT_Obl,30.7464982336559
101_CT_1,144,PowerGenerated,35.0
101_CT_1,144,UT_Obl,40.0
101_CT_1,144,UnitOn,30.0
101_CT_2,48,DT_Obl,30.7464982336559
101_CT_2,48,PowerGenerated,35.0
101_CT_2,48,UT_Obl,40.0
101_CT_2,48,UnitOn,30.0
101_CT_2,96,DT_Obl,30.7464982336559
101_CT_2,96,PowerGenerated,35.0
101_CT_2,96,UT_Obl,40.0
101_CT_2,96,UnitOn,30.0
101_CT_2,144,DT_Obl,30.7464982336559
101_CT_2,144,PowerGenerated,35.0
101_CT_2,144,UT_Obl,40.0
101_CT_2,144,UnitOn,30.0
101_STEAM_3,48,DT_Obl,32.24318501390576
101_STEAM_3,48,PowerGenerated,12.939183502829774
101_STEAM_3,48,UT_Obl,29.971985869247156
101_STEAM_3,48,UnitOn,29.91893832869808
101_STEAM_3,96,DT_Obl,33.614433096811695
101_STEAM_3,96,PowerGenerated,7.48903930046572
101_STEAM_3,96,UT_Obl,30.1767745295803
101_STEAM_3,96,UnitOn,29.46185563439611
101_STEAM_3,144,DT_Obl,33.6828795469933
101_STEAM_3,144,PowerGenerated,6.453849165199916
101_STEAM_3,144,UT_Obl,29.971985869247156
101_STEAM_3,144,UnitOn,29.439040151002242
101_STEAM_4,48,DT_Obl,32.24318501390576
101_STEAM_4,48,PowerGenerated,12.876066187310695
101_STEAM_4,48,UT_Obl,29.971985869247156
101_STEAM_4,48,UnitOn,29.91893832869808
101_STEAM_4,96,DT_Obl,34.163685866230374
101_STEAM_4,96,PowerGenerated,7.806879454627022
101_STEAM_4,96,UT_Obl,30.12849564006528
101_STEAM_4,96,UnitOn,29.278771377923217
101_STEAM_4,144,DT_Obl,33.429785285134436
101_STEAM_4,144,PowerGenerated,9.515699665397229
101_STEAM_4,144,UT_Obl,29.971985869247156
101_STEAM_4,144,UnitOn,29.523404904955193
102_CT_1,48,DT_Obl,30.7464982336559
102_CT_1,48,PowerGenerated,35.0
102_CT_1,48,UT_Obl,40.0
102_CT_1,48,UnitOn,30.0
102_CT_1,96,DT_Obl,30.7464982336559
102_CT_1,96,PowerGenerated,35.0
102_CT_1,96,UT_Obl,40.0
102_CT_1,96,UnitOn,30.0
102_CT_1,144,DT_Obl,30.7464982336559
102_CT_1,144,PowerGenerated,35.0
102_CT_1,144,UT_Obl,40.0
102_CT_1,144,UnitOn,30.0
102_CT_2,48,DT_Obl,30.7464982336559
102_CT_2,48,PowerGenerated,35.0
102_CT_2,48,UT_Obl,40.0
102_CT_2,48,UnitOn,30.0
102_CT_2,96,DT_Obl,30.7464982336559
102_CT_2,96,PowerGenerated,35.0
102_CT_2,96,UT_Obl,40.0
102_CT_2,96,UnitOn,30.0
102_CT_2,144,DT_Obl,30.7464982336559
102_CT_2,144,PowerGenerated,35.0
102_CT_2,144,UT_Obl,40.0
102_CT_2,144,UnitOn,30.0
102_STEAM_3,48,DT_Obl,33.77528660959892
102_STEAM_3,48,PowerGenerated,11.072520693553258
102_STEAM_3,48,UT_Obl,31.225487635591243
102_STEAM_3,48,UnitOn,29.40823779680037
102_STEAM_3,96,DT_Obl,34.60924898443504
102_STEAM_3,96,PowerGenerated,4.758531174594825
102_STEAM_3,96,UT_Obl,31.225487635591243
102_STEAM_3,96,UnitOn,29.130250338521662
102_STEAM_3,144,DT_Obl,32.95604126558671
102_STEAM_3,144,PowerGenerated,6.927909139861826
102_STEAM_3,144,UT_Obl,31.225487635591243
102_STEAM_3,144,UnitOn,29.681319578137767
102_STEAM_4,48,DT_Obl,33.77528660959892
102_STEAM_4,48,PowerGenerated,10.782471831842368
102_STEAM_4,48,UT_Obl,31.225487635591243
102_STEAM_4,48,UnitOn,29.40823779680037
102_STEAM_4,96,DT_Obl,33.24922892739764
102_STEAM_4,96,PowerGenerated,9.27571817046536
102_STEAM_4,96,UT_Obl,31.225487635591243
102_STEAM_4,96,UnitOn,29.583590357534117
102_STEAM_4,144,DT_Obl,32.95604126558671
102_STEAM_4,144,PowerGenerated,6.8260121360371935
102_STEAM_4,144,UT_Obl,31.225487635591243
102_STEAM_4,144,UnitOn,29.681319578137767
107_CC_1,48,DT_Obl,28.242472535352157
107_CC_1,48,PowerGenerated,6.29728106248856
107_CC_1,48,UT_Obl,44.10064080752832
107_CC_1,48,UnitOn,30.065609097762056
107_CC_1,96,DT_Obl,26.74047695819112
107_CC_1,96,PowerGenerated,14.165674149167987
107_CC_1,96,UT_Obl,40.1799843108339
